Season,Characters
Season_2,RJ Mitte as Walter White Jr.
Season_2,Raymond Cruz as Tuco Salamanca
Season_2,Tess Harper as Mrs. Pinkman
Season_2,Mark Margolis as Hector Salamanca
Season_2,Steven Michael Quezada as Steven Gomez
Season_2,Nigel Gibbs as APD Detective Tim Roberts
Season_2,Dana Cortez as TV Reporter
Season_2,Robert Sanchez as Harry Lipenstein
Season_2,Bryan Cranston as Walter White
Season_2,Anna Gunn as Skyler White
Season_2,Aaron Paul as Jesse Pinkman
Season_2,Dean Norris as Hank Schrader
Season_2,Betsy Brandt as Marie Schrader
Season_2,RJ Mitte as Walter White Jr.
Season_2,Mark Margolis as Hector Salamanca
Season_2,Harry Groener as Dr. Chavez
Season_2,Michael Shamus Wiles as ASAC George Merkert
Season_2,Matthew Lee Jones as Badger
Season_2,Tom Kiesche as Clovis
Season_2,Steven Michael Quezada as Steven Gomez
Season_2,David House as Dr. Delcavoli
Season_2,Julia Minesci as Wendy
Season_2,Todd Terry as SAC
Season_2,Christopher Dempsey as Hospital Medic
Season_2,Kat Sawyer-Young as Dr. Soper
Season_2,Sheran Keyton as Tio's Nurse
Season_2,David Priemazon as DEA Point Man
Season_2,Ramsey Williams as Supermarket Clerk
Season_2,Michael-David Aragon as DEA Agent
Season_2,Lawrence Gilligan as DEA Agent
Season_2,Jamie Haqqani as DEA Agent
Season_2,Bryan Cranston as Walter White
Season_2,Anna Gunn as Skyler White
Season_2,Aaron Paul as Jesse Pinkman
Season_2,Dean Norris as Hank Schrader (credit only)
Season_2,Betsy Brandt as Marie Schrader (credit only)
Season_2,RJ Mitte as Walter White Jr.
Season_2,Tess Harper as Mrs. Pinkman
Season_2,Michael Bofshever as Mr. Pinkman
Season_2,Dan Desmond as Mr. Gardiner
Season_2,Tom Kiesche as Clovis
Season_2,Drew Waters as Paul Tyree
Season_2,Shauna McLean as Sara Tyree
Season_2,Liam Ruggles as Henry Tyree
Season_2,Caleb Jones as Louis
Season_2,Argos MacCallum as Wino
Season_2,Jamie Haqqani as DEA Agent
Season_2,Bryan Cranston as Walter White
Season_2,Anna Gunn as Skyler White
Season_2,Aaron Paul as Jesse Pinkman
Season_2,Dean Norris as Hank Schrader
Season_2,Betsy Brandt as Marie Schrader
Season_2,RJ Mitte as Walter White Jr.
Season_2,Krysten Ritter as Jane Margolis
Season_2,Matt Jones as Badger
Season_2,Steven Michael Quezada as Steven Gomez
Season_2,Michael Shamus Wiles as ASAC George Merkert
Season_2,Dale Dickey as Spooge's Lady
Season_2,David Ury as Spooge
Season_2,Tom Kiesche as Clovis
Season_2,Charles Baker as Skinny Pete
Season_2,Rodney Rush as Combo
Season_2,David House as Dr. Delcavoli
Season_2,Judith Rane as Office Manager
Season_2,Lawrence Varnado as Agent Buddy
Season_2,Robert Sanchez as Harry Lipenstein
Season_2,Lawrence Gilligan as DEA Agent
Season_2,Tavia Schwartz as Bad Girl
Season_2,Malcolm Ullery as Skycap
Season_2,Bryan Cranston as Walter White
Season_2,Anna Gunn as Skyler White
Season_2,Aaron Paul as Jesse Pinkman
Season_2,Dean Norris as Hank Schrader (credit only)
Season_2,Betsy Brandt as Marie Schrader (voice only)
Season_2,RJ Mitte as Walter White Jr.
Season_2,Jessica Hecht as Gretchen Schwartz
Season_2,Dale Dickey as Spooge's Lady
Season_2,David Ury as Spooge
Season_2,Carmen Serano as Carmen Molina
Season_2,Charles Baker as Skinny Pete
Season_2,Dylan & Brandon Carr as Young Boy
Season_2,Cocoa Brown as Mail Lady
Season_2,Andrew Lutheran as Jeffrey
Season_2,Bryan Cranston as Walter White
Season_2,Anna Gunn as Skyler White
Season_2,Aaron Paul as Jesse Pinkman
Season_2,Dean Norris as Hank Schrader
Season_2,Betsy Brandt as Marie Schrader
Season_2,RJ Mitte as Walter White Jr.
Season_2,Danny Trejo as Tortuga
Season_2,Krysten Ritter as Jane Margolis
Season_2,Matt Jones as Badger
Season_2,Christopher Cousins as Ted Beneke
Season_2,Charles Baker as Skinny Pete
Season_2,Rodney Rush as Combo
Season_2,J.D. Garfield as Vanco
Season_2,Todd Terry as El Paso SAC
Season_2,Rio Alexander as Federale
Season_2,Jonathan Ragsdale as Student
Season_2,Catherine Haun as Receptionist
Season_2,John Christopher Hicks as Big Biker
Season_2,Gabriel Berrelleza as Narcocorridos Band #1
Season_2,Martiniano Berrelleza Alvarado as Narcocorridos Band #2
Season_2,Paul J. Porter as El Paso DEA Agent
Season_2,David T. Quan as Corpse
Season_2,Sebastian Tyler Rose as Boy in Museum
Season_2,Bryan Cranston as Walter White
Season_2,Anna Gunn as Skyler White
Season_2,Aaron Paul as Jesse Pinkman
Season_2,Dean Norris as Hank Schrader
Season_2,Betsy Brandt as Marie Schrader
Season_2,RJ Mitte as Walter White Jr. (credit only)
Season_2,Bob Odenkirk as Saul Goodman
Season_2,DJ Qualls as Getz
Season_2,Krysten Ritter as Jane Margolis
Season_2,Matt Jones as Badger
Season_2,Steven Michael Quezada as Steven Gomez
Season_2,Tina Parker as Francesca
Season_2,Jimmy Daniels as Jimmy In-'N-Out
Season_2,Shenoah Allen as Schlubby Guy #1
Season_2,Drew Pollock as Schlubby Guy #2
Season_2,Casey Cerutti as Hot Chick Cop
Season_2,Andrea Good as Laundry Worker
Season_2,Bryan Cranston as Walter White
Season_2,Anna Gunn as Skyler White
Season_2,Aaron Paul as Jesse Pinkman
Season_2,Dean Norris as Hank Schrader
Season_2,Betsy Brandt as Marie Schrader
Season_2,RJ Mitte as Walter White Jr.
Season_2,Bob Odenkirk as Saul Goodman
Season_2,Krysten Ritter as Jane Margolis
Season_2,David House as Dr. Delcavoli
Season_2,Jeff Fenter as Urinal Guy
Season_2,Marcus M. Mauldin as Technician
Season_2,Bryan Cranston as Walter White
Season_2,Anna Gunn as Skyler White
Season_2,Aaron Paul as Jesse Pinkman
Season_2,Dean Norris as Hank Schrader
Season_2,Betsy Brandt as Marie Schrader
Season_2,RJ Mitte as Walter White Jr.
Season_2,Krysten Ritter as Jane Margolis
Season_2,Christopher Cousins as Ted Beneke
Season_2,John de Lancie as Donald Margolis
Season_2,Steven Michael Quezada as Steven Gomez
Season_2,Carmen Serano as Carmen Molina
Season_2,Carl Savering as Bob
Season_2,Shannon McCormick as Tweaky Dude
Season_2,KA Beesler as Thug Buddy
Season_2,Bryan Cranston as Walter White
Season_2,Anna Gunn as Skyler White
Season_2,Aaron Paul as Jesse Pinkman
Season_2,Dean Norris as Hank Schrader (credit only)
Season_2,Betsy Brandt as Marie Schrader (credit only)
Season_2,RJ Mitte as Walter White Jr. (credit only)
Season_2,Bob Odenkirk as Saul Goodman
Season_2,Giancarlo Esposito as Gustavo Fring
Season_2,Krysten Ritter as Jane Margolis
Season_2,Christopher Cousins as Ted Beneke
Season_2,Sam McMurray as Dr. Victor Bravenec
Season_2,Charles Baker as Skinny Pete
Season_2,Rodney Rush as Combo
Season_2,David House as Dr. Delcavoli
Season_2,Angelo Martinez as Boy
Season_2,Mike Seal as Rival Dealer #1
Season_2,Antonio Leyba as Rival Dealer #2
Season_2,Reis Myers-McCormick as OB/GYN
Season_2,Erin Miller-Gibbs as Restaurant Employee
Season_2,Ashley Kajiki as Restaurant Manager
Season_2,Jeremiah Bitsui as Gus' Messenger
Season_2,Maggie Fine as Beneke Employee #1
Season_2,Kate Schroeder as Beneke Employee #2
Season_2,John Augustini as Tim
Season_2,Unknown actress as Lucy
Season_2,Unknown actor as Bob
Season_2,Karen M. Hudson as Office Worker
Season_2,Z. Ray Wakeman as Los Pollos Hermanos Patron
Season_2,Bryan Cranston as Walter White
Season_2,Anna Gunn as Skyler White
Season_2,Aaron Paul as Jesse Pinkman
Season_2,Dean Norris as Hank Schrader
Season_2,Betsy Brandt as Marie Schrader
Season_2,RJ Mitte as Walter White Jr.
Season_2,Bob Odenkirk as Saul Goodman
Season_2,Krysten Ritter as Jane Margolis
Season_2,Christopher Cousins as Ted Beneke
Season_2,John de Lancie as Donald Margolis
Season_2,Tomas Potts as Tattooed Biker
Season_2,Cydne Schulte as Tattooed Woman
Season_2,Tony Whitecrow as Addict
Season_2,Wendy Scott as Nurse
Season_2,Erik J. Bockemeier as NA Sponsor
Season_2,Bryan Cranston as Walter White
Season_2,Anna Gunn as Skyler White
Season_2,Aaron Paul as Jesse Pinkman
Season_2,Dean Norris as Hank Schrader
Season_2,Betsy Brandt as Marie Schrader
Season_2,RJ Mitte as Walter White Jr.
Season_2,Jonathan Banks as Mike Ehrmantraut
Season_2,Giancarlo Esposito as Gustavo Fring
Season_2,Krysten Ritter as Jane Margolis
Season_2,John de Lancie as Donald Margolis
Season_2,Steven Michael Quezada as Steven Gomez
Season_2,Sam McMurray as Dr. Victor Bravenec
Season_2,Michael Shamus Wiles as ASAC George Merkert
Season_2,David House as Dr. Delcavoli
Season_2,Philip Howell as O.M.I. Attendent
Season_2,Juliet Lopez as O.M.I. Officer
Season_2,Kieran Sequoia as Local Correspondent
Season_2,Richard Williams as Business Community Leader #1
Season_2,Daniel Halleck as Business Community Leader #2
Season_2,Richard Christie as Stew
Season_2,Ravenna Fahey as Nurse
Season_2,Jon Reigle as Look out
Season_2,Tina Borek as Lady in Car
Season_2,Andrea Good as Laundry Worker
Season_3,Bryan Cranston as Walter White
Season_3,Anna Gunn as Skyler White
Season_3,Aaron Paul as Jesse Pinkman
Season_3,Dean Norris as Hank Schrader
Season_3,Betsy Brandt as Marie Schrader
Season_3,RJ Mitte as Walter White Jr.
Season_3,Giancarlo Esposito as Gustavo Fring
Season_3,John de Lancie as Donald Margolis
Season_3,Jere Burns as Group Leader
Season_3,Julie Dretzin as Pamela Orbic
Season_3,Carmen Serano as Principal Carmen Molina
Season_3,Luis Moncada and Daniel Moncada as The Cousins
Season_3,Jonathan Ragsdale as Barry
Season_3,Taylor Cranston as Sad Faced Girl
Season_3,Robin Dearden as Emotional Woman
Season_3,Galen Hutchinson as Wide Eyed Boy
Season_3,Jesus Mayorga as Friendly Guy
Season_3,Lorel Medina as Daughter
Season_3,Mario Moreno as Father
Season_3,Maria Bethke as Mother
Season_3,Cicelo Solano as Old Crawler
Season_3,Ashleigh Banfield as Anchor #1
Season_3,Marla Tellez as Anchor #2
Season_3,Jeff Maher as Anchor #3
Season_3,Dana Cortez as Anchor #4
Season_3,Holly Rice as Teacher
Season_3,Erik Beacham as Rehab Patient
Season_3,Kathryn Dove as Teacher
Season_3,Will Ontiveros as High School Student
Season_3,Bryan Cranston as Walter White
Season_3,Anna Gunn as Skyler White
Season_3,Aaron Paul as Jesse Pinkman
Season_3,Dean Norris as Hank Schrader
Season_3,Betsy Brandt as Marie Schrader
Season_3,RJ Mitte as Walter White Jr.
Season_3,Giancarlo Esposito as Gustavo Fring
Season_3,Bob Odenkirk as Saul Goodman
Season_3,Jonathan Banks as Mike Ehrmantraut
Season_3,Tess Harper as Mrs. Pinkman
Season_3,Mark Margolis as Hector Salamanca
Season_3,Christopher Cousins as Ted Beneke
Season_3,Steven Michael Quezada as Steven Gomez
Season_3,Michael Bofshever as Mr. Pinkman
Season_3,Dan Desmond as Mr. Gardiner
Season_3,Luis Moncada and Daniel Moncada as The Cousins
Season_3,Jeremiah Bitsui as Victor
Season_3,Kaija Roze Bales as Little Girl
Season_3,J. Taylor as Cop
Season_3,Rodger Larance as Mall Shopper
Season_3,Bryan Cranston as Walter White
Season_3,Anna Gunn as Skyler White
Season_3,Aaron Paul as Jesse Pinkman
Season_3,Betsy Brandt as Marie Schrader (credit only)
Season_3,Dean Norris as Hank Schrader
Season_3,RJ Mitte as Walter White Jr.
Season_3,Bob Odenkirk as Saul Goodman
Season_3,Giancarlo Esposito as Gustavo Fring
Season_3,Jonathan Banks as Mike Ehrmantraut
