Season,Characters
Season_2,El Paso DEA Agent
Season_2,Corpse
Season_2,Boy in Museum
Season_2,Walter White
Season_2,Skyler White
Season_2,Jesse Pinkman
Season_2,Hank Schrader
Season_2,Marie Schrader
Season_2,Walter White Jr.
Season_2,Saul Goodman
Season_2,Getz
Season_2,Jane Margolis
Season_2,Badger
Season_2,Steven Gomez
Season_2,Francesca
Season_2,Jimmy In-'N-Out
Season_2,Schlubby Guy
Season_2,Schlubby Guy
Season_2,Hot Chick Cop
Season_2,Laundry Worker
Season_2,Walter White
Season_2,Skyler White
Season_2,Jesse Pinkman
Season_2,Hank Schrader
Season_2,Marie Schrader
Season_2,Walter White Jr.
Season_2,Saul Goodman
Season_2,Jane Margolis
Season_2,Dr. Delcavoli
Season_2,Urinal Guy
Season_2,Technician
Season_2,Walter White
Season_2,Skyler White
Season_2,Jesse Pinkman
Season_2,Hank Schrader
Season_2,Marie Schrader
Season_2,Walter White Jr.
Season_2,Jane Margolis
Season_2,Ted Beneke
Season_2,Donald Margolis
Season_2,Steven Gomez
Season_2,Carmen Molina
Season_2,Bob
Season_2,Tweaky Dude
Season_2,Thug Buddy
Season_2,Walter White
Season_2,Skyler White
Season_2,Jesse Pinkman
Season_2,Hank Schrader
Season_2,Marie Schrader
Season_2,Walter White Jr.
Season_2,Saul Goodman
Season_2,Gustavo Fring
Season_2,Jane Margolis
Season_2,Ted Beneke
Season_2,Dr. Victor Bravenec
Season_2,Skinny Pete
Season_2,Combo
Season_2,Dr. Delcavoli
Season_2,Boy
Season_2,Rival Dealer
Season_2,Rival Dealer
Season_2,OB/GYN
Season_2,Restaurant Employee
Season_2,Restaurant Manager
Season_2,Gus' Messenger
Season_2,Beneke Employee
Season_2,Beneke Employee
Season_2,Tim
Season_2,Lucy
Season_2,Bob
Season_2,Office Worker
Season_2,Los Pollos Hermanos Patron
Season_2,Walter White
Season_2,Skyler White
Season_2,Jesse Pinkman
Season_2,Hank Schrader
Season_2,Marie Schrader
Season_2,Walter White Jr.
Season_2,Saul Goodman
Season_2,Jane Margolis
Season_2,Ted Beneke
Season_2,Donald Margolis
Season_2,Tattooed Biker
Season_2,Tattooed Woman
Season_2,Addict
Season_2,Nurse
Season_2,NA Sponsor
Season_2,Walter White
Season_2,Skyler White
Season_2,Jesse Pinkman
Season_2,Hank Schrader
Season_2,Marie Schrader
Season_2,Walter White Jr.
Season_2,Mike Ehrmantraut
Season_2,Gustavo Fring
Season_2,Jane Margolis
Season_2,Donald Margolis
Season_2,Steven Gomez
Season_2,Dr. Victor Bravenec
Season_2,ASAC George Merkert
Season_2,Dr. Delcavoli
Season_2,O.M.I. Attendent
Season_2,O.M.I. Officer
Season_2,Local Correspondent
Season_2,Business Community Leader
Season_2,Business Community Leader
Season_2,Stew
Season_2,Nurse
Season_2,Look out
Season_2,Lady in Car
Season_2,Laundry Worker
Season_3,Walter White
Season_3,Skyler White
Season_3,Jesse Pinkman
Season_3,Hank Schrader
Season_3,Marie Schrader
Season_3,Walter White Jr.
Season_3,Gustavo Fring
